gpio,timestamp
23,1542965871448.446
24,1542965871448.4292
24,1542965871669.2754
23,1542965872052.7183
23,1542965872256.2703
22,1542965872412.129
23,1542965872479.3093
22,1542965872909.7583
22,1542965873256.0999
23,1542965873748.5376
23,1542965874087.9976
24,1542965874237.1206
23,1542965874425.948
22,1542965874487.001
22,1542965874888.8481
23,1542965875783.2957
22,1542965875912.9553
23,1542965876559.1409
23,1542965876842.2488
24,1542965876996.7788
24,1542965877376.8716
24,1542965878102.1702
24,1542965878276.7593
23,1542965878427.048
22,1542965878454.343
23,1542965879427.4258
22,1542965879638.1614
23,1542965879932.5552
22,1542965880268.1062
24,1542965880268.1018
5,1542965880268.1006
22,1542965880268.102
23,1542965880268.102
23,1542965880268.2603
24,1542965880268.2603
22,1542965880268.2605
24,1542965880408.1765
24,1542965880951.689
22,1542965881353.2808
22,1542965881639.4258
23,1542965882499.9697
22,1542965882583.3374
23,1542965882692.7925
23,1542965882756.649
24,1542965882815.0742
24,1542965883316.3687
23,1542965883377.359
22,1542965883429.2307
22,1542965883695.3137
23,1542965884068.066
22,1542965884077.835
23,1542965884179.1472
22,1542965884272.7593
22,1542965884740.0178
22,1542965884740.2444
22,1542965884907.6655
22,1542965885195.0479
23,1542965885335.673
22,1542965885416.018
24,1542965885423.3103
24,1542965885441.2888
22,1542965885725.0693
22,1542965886163.9182
22,1542965886356.606
22,1542965886487.4963
22,1542965886599.807
22,1542965886606.2488
23,1542965886681.9956
23,1542965886716.6763
24,1542965887001.6504
23,1542965887067.4087
22,1542965887207.8042
23,1542965887303.5012
22,1542965887895.1172
22,1542965887971.6255
24,1542965888290.349
22,1542965888785.2747
24,1542965889686.0112
24,1542965889941.3525
22,1542965890129.0117
23,1542965890158.6274
24,1542965890217.577
22,1542965890566.3025
23,1542965890742.872
22,1542965891148.4336
23,1542965891169.0747
24,1542965891184.8777
23,1542965891191.7805
24,1542965891858.3447
22,1542965891880.9482
23,1542965891962.0283
24,1542965892016.165
23,1542965892811.9802
23,1542965892961.574
22,1542965894566.2747
23,1542965894976.069
22,1542965895229.2375
24,1542965897009.1877
23,1542965897414.2446
22,1542965897533.7678
23,1542965897609.538
22,1542965897710.9133
24,1542965898317.4836
24,1542965898993.346
22,1542965899104.3777
22,1542965899321.7131
23,1542965900159.3608
22,1542965900465.8164
24,1542965900857.4067
24,1542965900868.4783
24,1542965900878.9888
23,1542965901319.232
23,1542965901382.1323
23,1542965901423.8687
24,1542965901754.737
22,1542965901810.921
22,1542965901877.0828
24,1542965902110.3198
23,1542965902143.0964
24,1542965902150.4224
24,1542965902171.1616
22,1542965902285.2861
24,1542965902510.1094
22,1542965902838.7612
22,1542965903011.5908
24,1542965903250.8877
24,1542965903465.9883
23,1542965903664.6326
24,1542965903705.6282
24,1542965903751.997
22,1542965903863.502
23,1542965903897.841
22,1542965904003.819
22,1542965904294.7397
22,1542965904408.4844
